,HOME_TEAM_NAME,HOME_DATE,HOME_W_PCT,HOME_FG_PCT,HOME_FG3_PCT,HOME_OREB,HOME_DREB,HOME_AST,HOME_TOV,HOME_STL,HOME_BLK,HOME_PTS,AWAY_TEAM_NAME,AWAY_DATE,AWAY_W_PCT,AWAY_FG_PCT,AWAY_FG3_PCT,AWAY_OREB,AWAY_DREB,AWAY_AST,AWAY_TOV,AWAY_STL,AWAY_BLK,AWAY_PTS,Home Team Wins
83,Los Angeles Lakers,11142018,0.5379999999999999,0.48200000000000004,0.35100000000000003,11.0,35.0,26.1,16.1,9.1,6.2,116.2,Portland Trail Blazers,11142018,0.769,0.46399999999999997,0.365,12.0,40.2,20.4,14.8,5.8,4.7,115.8,True
84,Milwaukee Bucks,11142018,0.769,0.483,0.376,10.3,41.3,27.3,15.5,6.8,6.4,121.6,Memphis Grizzlies,11142018,0.583,0.444,0.35700000000000004,8.0,30.3,22.4,13.4,9.8,4.3,101.8,False
85,Minnesota Timberwolves,11142018,0.35700000000000004,0.436,0.361,11.5,32.1,22.5,13.9,9.1,5.9,111.2,New Orleans Pelicans,11142018,0.5379999999999999,0.484,0.359,11.9,36.2,27.1,15.2,6.8,5.8,118.3,True
86,Oklahoma City Thunder,11142018,0.615,0.44299999999999995,0.301,13.2,33.6,20.8,14.3,11.5,5.5,109.7,New York Knicks,11142018,0.28600000000000003,0.431,0.319,12.6,33.6,19.1,15.2,7.6,4.7,106.4,True
87,Orlando Magic,11142018,0.429,0.44,0.341,10.3,33.4,25.6,13.7,7.9,6.1,103.9,Philadelphia 76ers,11142018,0.6,0.45,0.337,10.1,39.2,26.1,16.5,6.7,6.1,112.7,True
88,Phoenix Suns,11142018,0.154,0.446,0.326,8.4,33.0,23.3,18.4,6.7,3.5,101.2,San Antonio Spurs,11142018,0.583,0.44799999999999995,0.384,10.8,34.8,23.8,12.3,6.5,4.2,108.7,True
89,Toronto Raptors,11142018,0.857,0.486,0.345,10.7,35.8,25.0,14.4,8.6,5.6,117.4,Detroit Pistons,11142018,0.5,0.424,0.315,13.4,35.8,20.8,14.8,6.6,3.9,110.1,False
90,Washington Wizards,11142018,0.308,0.45299999999999996,0.32799999999999996,8.8,31.3,21.9,14.7,8.1,6.5,111.0,Cleveland Cavaliers,11142018,0.154,0.449,0.365,12.2,32.2,20.1,15.5,7.2,2.4,104.0,True
91,Denver Nuggets,11152018,0.643,0.461,0.331,12.1,34.4,24.7,14.2,8.6,4.8,109.1,Atlanta Hawks,11152018,0.214,0.449,0.33799999999999997,9.5,34.6,24.6,18.6,8.4,5.6,108.9,True
92,Houston Rockets,11152018,0.462,0.426,0.32899999999999996,10.8,30.4,20.0,14.3,8.4,6.0,103.2,Golden State Warriors,11152018,0.8,0.509,0.418,9.6,36.1,29.9,15.0,7.7,6.1,120.7,True
93,Boston Celtics,11162018,0.5710000000000001,0.429,0.361,10.0,36.5,23.9,13.4,7.4,5.2,105.6,Toronto Raptors,11162018,0.8,0.486,0.33899999999999997,10.8,35.9,24.9,14.7,8.7,5.5,116.5,True
94,Indiana Pacers,11162018,0.5710000000000001,0.484,0.366,8.1,32.2,22.2,13.9,8.7,5.4,105.7,Miami Heat,11162018,0.429,0.44799999999999995,0.36700000000000005,11.7,35.6,22.7,16.8,6.6,6.9,111.5,True
95,Memphis Grizzlies,11162018,0.615,0.449,0.36,7.7,30.3,22.5,13.5,9.7,4.3,102.9,Sacramento Kings,11162018,0.5710000000000001,0.48200000000000004,0.387,9.8,35.4,24.6,15.1,8.5,4.8,114.5,True
96,Milwaukee Bucks,11162018,0.7140000000000001,0.485,0.369,10.2,40.9,26.9,15.5,6.7,6.5,121.0,Chicago Bulls,11162018,0.267,0.446,0.35600000000000004,7.8,34.6,21.6,15.3,7.3,5.2,104.3,True
97,Minnesota Timberwolves,11162018,0.4,0.435,0.36700000000000005,11.5,32.3,22.9,14.1,9.5,5.9,110.9,Portland Trail Blazers,11162018,0.7140000000000001,0.46299999999999997,0.369,11.9,39.9,20.6,14.8,6.0,5.1,115.9,True
98,New Orleans Pelicans,11162018,0.5,0.479,0.35600000000000004,11.8,36.2,26.9,15.4,6.9,5.8,117.0,New York Knicks,11162018,0.267,0.43200000000000005,0.316,12.3,33.1,19.0,15.4,7.7,4.9,106.1,True
99,Philadelphia 76ers,11162018,0.563,0.452,0.345,10.1,38.7,26.5,16.4,6.4,5.9,112.3,Utah Jazz,11162018,0.5,0.45399999999999996,0.33299999999999996,9.8,32.6,23.8,15.6,8.2,5.4,107.4,True
100,Washington Wizards,11162018,0.35700000000000004,0.455,0.32799999999999996,9.1,31.4,22.5,14.9,8.7,6.3,111.6,Brooklyn Nets,11162018,0.4,0.44799999999999995,0.36,12.0,31.7,23.8,14.6,7.1,4.4,109.0,False
101,Boston Celtics,11172018,0.6,0.435,0.361,9.9,36.5,23.9,13.7,7.5,5.3,106.7,Utah Jazz,11172018,0.467,0.455,0.326,9.8,32.4,23.2,15.4,8.3,5.3,107.3,False
102,Chicago Bulls,11172018,0.25,0.445,0.358,7.6,34.4,21.6,15.1,7.3,5.1,104.3,Toronto Raptors,11172018,0.75,0.48200000000000004,0.336,10.8,35.6,24.6,14.7,8.9,5.4,116.4,False
103,Charlotte Hornets,11172018,0.5,0.457,0.355,10.4,34.3,24.9,12.6,6.9,6.4,114.6,Philadelphia 76ers,11172018,0.588,0.455,0.35,10.1,38.2,26.4,16.5,6.4,5.8,112.4,False
104,Dallas Mavericks,11172018,0.429,0.467,0.359,9.9,34.9,23.3,17.9,7.2,5.0,110.7,Golden State Warriors,11172018,0.75,0.504,0.41100000000000003,9.8,35.8,29.2,15.1,7.3,6.1,118.6,True
105,Houston Rockets,11172018,0.5,0.424,0.33,11.0,30.1,20.0,13.9,8.4,5.9,103.4,Sacramento Kings,11172018,0.5329999999999999,0.48100000000000004,0.385,9.7,35.3,24.5,15.5,8.5,4.6,113.8,True
106,Indiana Pacers,11172018,0.6,0.48100000000000004,0.377,7.8,32.9,22.2,14.3,8.8,5.4,105.3,Atlanta Hawks,11172018,0.2,0.442,0.32799999999999996,9.9,34.2,24.3,18.7,8.3,5.6,107.8,True
107,New Orleans Pelicans,11172018,0.5329999999999999,0.48,0.35100000000000003,11.7,36.7,26.9,15.3,6.7,5.7,117.8,Denver Nuggets,11172018,0.667,0.469,0.337,12.0,35.1,25.3,14.3,8.9,4.9,111.1,True
108,Orlando Magic,11172018,0.467,0.444,0.34600000000000003,9.9,33.3,25.5,13.5,7.8,6.0,104.4,Los Angeles Lakers,11172018,0.5710000000000001,0.48100000000000004,0.36,11.0,35.1,26.0,15.9,9.2,6.1,116.9,True
