,TEAM_ID,TEAM_NAME,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,CFID,CFPARAMS,DATE
88,1610612762,Utah Jazz,9,4,5,0.444,48.0,38.7,83.4,0.463,11.4,32.0,0.358,21.0,28.4,0.738,9.8,33.8,43.6,23.2,15.6,7.9,5.4,3.9,22.4,25.4,109.8,1.1,6,14,15,16,11,25,29,13,14,13,15,7,5,19,23,19,20,19,23,13,16,3,13,3,19,14,10,Utah Jazz,11032018
89,1610612764,Washington Wizards,8,1,7,0.125,48.6,39.6,89.5,0.443,11.1,34.8,0.32,21.4,26.8,0.799,8.1,31.8,39.9,21.9,15.1,7.6,6.6,5.0,24.4,22.8,111.8,-12.1,21,28,26,28,3,20,19,22,16,7,26,5,9,8,28,26,29,24,18,15,4,10,26,14,15,29,10,Washington Wizards,11032018
90,1610612737,Atlanta Hawks,9,3,6,0.333,48.0,40.1,88.6,0.453,13.0,36.2,0.359,17.6,24.7,0.712,9.1,35.0,44.1,25.6,18.9,8.1,5.9,5.1,24.1,24.0,110.8,-9.4,13,21,20,23,11,16,22,17,6,4,12,18,14,26,25,12,18,7,30,11,11,15,25,8,17,27,10,Atlanta Hawks,11042018
91,1610612738,Boston Celtics,9,6,3,0.667,48.0,37.8,89.4,0.422,13.3,37.3,0.357,15.0,19.8,0.758,10.2,38.0,48.2,23.8,13.8,6.1,5.0,3.1,22.7,21.6,103.9,4.1,13,7,5,7,11,28,18,30,3,3,14,27,28,15,18,4,6,16,7,25,20,2,14,20,28,9,10,Boston Celtics,11042018
92,1610612751,Brooklyn Nets,10,4,6,0.4,48.5,41.0,89.0,0.461,13.3,34.8,0.382,14.6,20.3,0.719,10.8,32.4,43.2,24.9,15.8,6.3,4.6,5.1,23.1,20.5,109.9,-1.4,2,14,20,18,6,13,19,14,4,6,6,28,26,23,14,22,22,11,23,24,24,14,21,28,19,18,10,Brooklyn Nets,11042018
93,1610612766,Charlotte Hornets,10,5,5,0.5,48.0,42.7,91.2,0.468,12.5,34.7,0.36,17.8,21.6,0.824,10.6,34.5,45.1,25.1,12.7,6.0,6.8,6.6,20.9,21.9,115.7,7.6,2,11,14,13,11,7,10,9,7,7,11,17,24,4,15,15,15,10,2,28,2,28,5,17,9,6,10,Charlotte Hornets,11042018
94,1610612741,Chicago Bulls,10,2,8,0.2,48.5,39.4,85.9,0.459,11.5,29.8,0.386,16.9,22.0,0.768,7.9,33.3,41.2,23.9,14.9,6.5,5.1,6.7,21.3,18.7,107.2,-7.8,2,26,29,29,6,20,25,15,11,21,5,21,22,14,29,20,27,15,17,22,19,29,6,30,23,25,10,Chicago Bulls,11042018
95,1610612739,Cleveland Cavaliers,9,1,8,0.111,48.0,39.3,88.3,0.445,7.9,22.8,0.346,19.6,23.6,0.83,12.2,29.1,41.3,20.7,14.7,8.1,1.8,5.8,22.2,20.8,106.1,-11.8,13,30,29,30,11,21,24,20,30,30,18,12,15,2,3,30,26,27,15,11,30,21,12,25,25,29,10,Cleveland Cavaliers,11042018
96,1610612742,Dallas Mavericks,9,2,7,0.222,48.6,40.8,90.1,0.453,12.1,35.6,0.341,17.1,23.3,0.733,10.9,32.3,43.2,23.8,16.8,6.9,4.7,4.2,21.8,25.1,110.8,-6.0,13,26,25,26,3,14,16,18,9,5,21,19,18,20,13,23,21,16,28,18,23,4,7,6,17,23,10,Dallas Mavericks,11042018
97,1610612743,Denver Nuggets,9,8,1,0.889,48.6,41.9,89.9,0.466,8.6,28.0,0.306,19.1,25.4,0.751,12.1,36.7,48.8,25.3,14.2,9.4,5.3,5.6,21.8,23.8,111.4,9.6,13,3,1,3,3,11,17,10,29,23,28,14,11,16,4,7,4,9,10,4,18,17,7,11,14,3,10,Denver Nuggets,11042018
98,1610612765,Detroit Pistons,8,4,4,0.5,49.3,39.3,91.5,0.429,9.8,32.0,0.305,21.3,28.5,0.746,11.9,36.3,48.1,18.8,14.6,5.4,4.1,4.4,25.3,25.3,109.5,-2.6,26,14,10,13,1,22,8,26,23,13,29,6,5,17,5,8,7,30,13,30,25,6,29,4,21,20,10,Detroit Pistons,11042018
99,1610612744,Golden State Warriors,10,9,1,0.9,48.0,46.3,89.0,0.52,13.3,32.1,0.414,18.2,22.5,0.809,9.8,37.3,47.1,30.7,15.4,8.2,6.1,2.9,22.8,20.6,124.1,13.5,2,1,1,1,11,1,19,1,4,12,1,16,21,7,21,6,8,1,20,10,9,1,16,27,1,2,10,Golden State Warriors,11042018
100,1610612745,Houston Rockets,8,3,5,0.375,48.0,38.3,90.5,0.423,13.9,41.3,0.336,15.9,22.9,0.694,11.8,30.5,42.3,21.1,14.0,8.5,6.6,5.1,23.0,21.1,106.3,-5.9,26,21,14,21,11,27,14,29,2,1,23,25,20,28,7,29,24,26,9,6,5,16,17,23,24,22,10,Houston Rockets,11042018
101,1610612754,Indiana Pacers,10,7,3,0.7,48.0,42.4,85.9,0.494,9.2,23.6,0.39,13.9,19.6,0.709,8.7,32.3,41.0,23.1,13.6,8.5,5.5,5.8,19.6,19.7,107.9,5.2,2,5,5,5,11,9,25,4,26,29,4,29,29,27,27,24,28,19,6,6,15,22,2,29,22,8,10,Indiana Pacers,11042018
102,1610612746,LA Clippers,9,5,4,0.556,48.0,40.7,85.9,0.473,9.6,24.4,0.391,24.9,30.3,0.821,9.2,37.7,46.9,21.4,16.3,5.7,5.9,6.0,24.6,25.6,115.8,5.9,13,11,10,11,11,15,27,8,25,27,3,1,1,5,24,5,10,25,25,29,11,24,27,2,8,7,10,LA Clippers,11042018
103,1610612747,Los Angeles Lakers,10,4,6,0.4,48.5,46.3,93.7,0.494,9.8,28.6,0.343,16.5,23.0,0.717,9.7,34.7,44.4,25.6,15.4,8.9,6.4,5.7,23.0,21.8,118.9,-1.1,2,14,20,18,6,1,1,3,21,22,20,22,19,24,23,14,17,6,20,5,6,20,17,19,3,16,10,Los Angeles Lakers,11042018
